CLAVE UR,SERIE,BN CARTA,BN OFICIO,BN DC,COLOR CARTA,COLOR OFICIO,ENVIAR,COPIAR
UR-00D,CN076AM019,0,0,0,0,0,0,0
UR-00D,CN07MAM019,0,0,0,0,0,0,0
UR-00D,CN07NAM00H,0,0,0,0,0,0,0
UR-00D,CN07NAM00Q,0,0,0,0,0,0,0
UR-00D,CN07NAM017,0,0,0,0,0,0,0
UR-00D,CN07OAM005,0,0,0,0,0,0,0
UR-00D,CN07OAM014,0,0,0,0,0,0,0
UR-00D,CN07OAM015,0,0,0,0,0,0,0
UR-00D,CN07OAM017,0,0,0,0,0,0,0
UR-00D,CN094AM00N,0,0,0,0,0,0,0
UR-00D,CN094AM00Q,0,0,0,0,0,0,0
UR-00D,CN094AM019,0,0,0,0,0,0,0
UR-00D,CN094AM01C,0,0,0,0,0,0,0
UR-00D,CN094AM01H,0,0,0,0,0,0,0
UR-00D,CN094AM01N,0,0,0,0,0,0,0
UR-00D,CN117D900Z,0,0,0,0,0,0,0
UR-00D,CNBRP191DG,0,0,0,0,0,0,0
UR-00D,CNBRP193PM,0,0,0,0,0,0,0
UR-00D,CNBRP193VV,0,0,0,0,0,0,0
UR-00D,CNBRP194S3,0,0,0,0,0,0,0
UR-141,CNBRP2870Q,1567,0,0,0,0,352,147
UR-148,CNBRP2870Z,413,0,0,0,0,212,451
UR-00D,CNBRP2871B,0,0,0,0,0,0,0
UR-146,CNBRP2871K,553,0,0,0,0,245,67
UR-145,CNBRP2871V,325,0,0,0,0,501,102
UR-125,CNBRP28723,1045,0,0,0,0,241,227
UR-00D,CNBRP2874C,0,0,0,0,0,0,0
UR-150,CNBRP2874K,692,1,0,0,0,289,113
UR-140,CNBRP2874X,178,0,0,0,0,133,23
UR-151,CNBRP2875B,1254,10,0,0,0,261,211
UR-00D,CNBRP2875K,0,0,0,0,0,0,0
UR-138,CNBRP2875Z,229,0,0,0,0,252,0
UR-149,CNBRP2876B,897,0,0,0,0,513,345
UR-142,CNBRP2876P,665,10,0,0,0,781,423
UR-00D,CNBRP2876Y,0,0,0,0,0,0,0
UR-00D,CNBRP2877B,0,0,0,0,0,0,0
UR-00D,CNBRP2877L,0,0,0,0,0,0,0
UR-139,CNBRP2877Y,272,0,0,0,0,311,107
UR-143,CNBRP28787,357,0,0,0,0,159,144
UR-00D,CNBRP2878G,0,0,0,0,0,0,0
UR-00D,CNBRP2878X,0,0,0,0,0,0,0
UR-00D,CNBRP28798,0,0,0,0,0,0,0
UR-00D,CNBRP2879H,0,0,0,0,0,0,0
UR-310,CNBRP2879P,105,0,0,0,0,65,26
UR-710,CNBRP2879X,6930,3,0,0,0,7818,1085
UR-00D,CNBRP287BB,0,0,0,0,0,0,0
UR-312,CNBRP287BP,73,0,0,0,0,54,8
UR-00D,CNBRP287BW,0,0,0,0,0,0,0
UR-00D,CNBRP287C4,0,0,0,0,0,0,0
UR-712,CNBRP287CJ,594,0,0,0,0,40,42
UR-00D,CNBRP287CT,0,0,0,0,0,0,0
